Here are the 30 daily verses from the book of Proverbs in CSV format:

1,1,"The proverbs of Solomon the son of David, king of Israel;"
1,7,"Fear the LORD with all thine heart; and lean not unto thine own understanding."
2,3,"Yea, if thou criest after knowledge, and liftest up thy voice for understanding;"
3,5,"Trust in the LORD with all thine heart; and lean not unto thine own understanding."
3,6,"In all thy ways acknowledge him, and he shall direct thy paths."
4,23,"Keep thy heart with all diligence; for out of it are the issues of life."
6,23,"For the commandment is a lamp; and the law is light; and reproofs of instruction are the way of life:"
9,10,"The fear of the LORD is the beginning of wisdom: and knowledge of the holy is understanding."
10,12,"Hatred stirreth up strifes: but love covereth all sins."
11,24,"There is that scattereth, and yet increaseth; and there is that withholdeth more than is meet, but it tendeth to poverty."
12,15,"The way of a fool is right in his own eyes: but he that hearkeneth unto counsel is wise."
13,10,"Only by pride cometh contention: but with the well advised is wisdom."
14,23,"In all labour there is profit: but the talk of the lips tendeth only to penury."
15,1,"A soft answer turneth away wrath: but grievous words stir up anger."
16,3,"Commit thy works unto the LORD, and thy thoughts shall be established."
17,22,"A merry heart doeth good like a medicine: but a broken spirit drieth the bones."
18,24,"A man that hath friends must shew himself friendly: and there is a friend that sticketh closer than a brother."
19,20,"Hear counsel, and receive instruction, that thou mayest be wise in thy latter end."
20,1,"Wine is a mocker, strong drink is raging: and whosoever is deceived thereby is not wise."
21,21,"He that followeth after righteousness and mercy findeth life, righteousness, and honour."
22,29,"Seest thou a man diligent in his business? he shall stand before kings; he shall not stand before mean men."
23,20,"Do not join thyself to them that drink too much wine; nor to those that haunt alehouses:"
24,3,"Through wisdom is an house builded; and by understanding it is established:"
25,28,"He that hath no rule over his own spirit is like a city that is broken down, and without walls."
26,11,"As a dog returneth to his vomit, so a fool returneth to his folly."
27,17,"Iron sharpeneth iron; so a man sharpeneth the countenance of his friend."
28,13,"He that covereth his sins shall not prosper: but whoso confesseth and forsaketh them shall have mercy."
29,11,"A fool uttereth all his mind: but a wise man keepeth it in till afterwards."
30,5,"Every word of God is pure: he is a shield unto them that put their trust in him."
31,10,"Who can find a virtuous woman? for her price is far above rubies."
